M,TICKS,TICK Time (sec),lambda,L : Packet length (bits),C = bits per secound,K: Buffer capacity (zero = inf),Service Time (Ticks),E[N] Avg num of packets in queue,E[T] Avg sojourn time (sec),P_Loss - packet loss,P_Idle - server idle (sec),Total Packets,Average Time (sec),Total Time (sec)
5,6000000000,0.001,250,2000,1000000,10,2000,1499492.8,998.5212098488855,0.0000000000016003187273607961,0.00000099950058855118,0.24954599800825766,92.51929182,462.6074596
5,6000000000,0.001,250,2000,1000000,25,2000,1499071.6,998.3318987983845,0,0.000000999500867372584,0.24942869700823808,92.32168049999999,461.6144028
5,6000000000,0.001,250,2000,1000000,50,2000,1498716,998.1371465361411,0,0.0000009995011033591235,0.24932187360822028,92.31968038,461.600402
5,6000000000,0.001,300,2000,1000000,10,2000,1800104.6,1496.6003743229817,0.000000000023662248576609424,0.0000009992504966523525,0.448995725208166,88.81768008,444.0904005
5,6000000000,0.001,300,2000,1000000,25,2000,1798800.4,1496.078704438712,0,0.0000009992518090118334,0.4485246164747541,88.83208090000001,444.1634047
5,6000000000,0.001,300,2000,1000000,50,2000,1799646,1499.0103968813432,0,0.0000009992509298099578,0.44961532304160257,88.81207978,444.0683993
5,6000000000,0.001,350,2000,1000000,10,2000,2099317.8,2312.6550043248376,0.00000000029380722059115214,0.0000009988370909400443,0.8089290980014882,85.5306921,427.6614609
5,6000000000,0.001,350,2000,1000000,25,2000,2099437,2331.685265806657,0,0.0000009988357286287022,0.8158726005359789,85.44208704,427.2184355
5,6000000000,0.001,350,2000,1000000,50,2000,2099762.8,2323.719734369099,0,0.0000009988351253749998,0.8132123637688687,85.37828336,426.9004173
5,6000000000,0.001,400,2000,1000000,10,2000,2398833.2,3742.9749482730103,0.0000000023385886782394732,0.0000009980317864749455,1.4929686756488283,82.0310919,410.1654601
5,6000000000,0.001,400,2000,1000000,25,2000,2399557.2,4000.756865469137,0.0000000000020003274998863354,0.0000009980058501369964,1.6000045015000008,81.857882,409.2914101
5,6000000000,0.001,400,2000,1000000,50,2000,2400597.6,4003.9774759181687,0,0.0000009980015029231899,1.601992501800332,81.80487898000001,409.0423959
5,6000000000,0.001,450,2000,1000000,10,2000,2699981.6,6248.212107031021,0.000000013079504672229672,0.0000009960425714364636,2.7748993961624833,79.08012312,395.4036158
5,6000000000,0.001,450,2000,1000000,25,2000,2698572.2,8674.076963270241,0.0000000005148467390226424,0.0000009955662394199912,3.8992665843498777,78.48608916,392.433446
5,6000000000,0.001,450,2000,1000000,50,2000,2700532.6,9048.600881161334,0.0000000000028879983989979083,0.0000009955112791152354,4.072683137878781,78.3576818,391.7934093
5,6000000000,0.001,500,2000,1000000,10,2000,2999833.8,9660.016783137797,0.000000046045942438153086,0.0000009897596023162089,4.607349287534558,77.75144715999998,388.7642361
5,6000000000,0.001,500,2000,1000000,25,2000,2999284.6,24619.48296778755,0.000000019239560043721046,0.0000009754388397592384,12.070035181245007,75.83753768000001,379.1986889
5,6000000000,0.001,500,2000,1000000,50,2000,2999542,49608.59824904854,0.000000009774895549901321,0.0000009525287404375647,24.558038397493007,75.51491920000001,377.5795963
5,6000000000,0.001,550,2000,1000000,10,2000,3300417.4,12911.495328679684,0.00000010376526520614834,0.0000009660237949048996,6.365252937027542,76.46937378,382.3498692
5,6000000000,0.001,550,2000,1000000,25,2000,3299092.8,40015.21862614325,0.00000009125170387070459,0.0000005663695012089927,19.994513238665753,76.0337489,380.1717446
5,6000000000,0.001,550,2000,1000000,50,2000,3298116.2,89628.35480560704,0.00000009038487379720351,0.000000019046043514468308,44.81408750946902,75.95574442,379.7837224
5,6000000000,0.001,600,2000,1000000,10,2000,3599354.6,15119.58518053599,0.0000001694451476734422,0.000000875843022317592,7.533227697988872,76.89559818,384.4959919
5,6000000000,0.001,600,2000,1000000,25,2000,3600758.6,44692.43326030842,0.00000016684613542300465,0.00000002200079785893893,22.34603893069101,76.7299887,383.6679446
5,6000000000,0.001,600,2000,1000000,50,2000,3599159.4,94680.9730433717,0.00000016645927849942118,0.0000000014020865489224812,47.340844404623475,76.40717024,382.0358512
5,6000000000,0.001,650,2000,1000000,10,2000,3898849.6,16430.822889786454,0.0000002311405879413413,0.0000006095745367243634,8.209012733768168,76.99540386000001,384.9790195
5,6000000000,0.001,650,2000,1000000,25,2000,3899173.8,46364.545937046845,0.00000023060080811891933,0.0000000015010351935281233,23.182345416063722,77.05260716,385.267036
5,6000000000,0.001,650,2000,1000000,50,2000,3898139.6,96357.21675374825,0.00000023039036902225397,0.0000000019966744864002537,48.17895568232982,76.90859892,384.5439946
5,6000000000,0.001,700,2000,1000000,10,2000,4198956.8,17216.669215580885,0.00000028566391494079276,0.0000002658002214180655,8.606790025567799,77.67684286,388.3882145
5,6000000000,0.001,700,2000,1000000,25,2000,4197649.4,47197.74902745652,0.0000002853086977362077,0.0000000007808003381338889,23.59896273963316,77.6494413,388.2472065
5,6000000000,0.001,700,2000,1000000,50,2000,4198324.8,97199.96304486666,0.0000002854174019772825,0.00000000004592278640005679,48.60037186720005,77.64164082,388.2112044
5,6000000000,0.001,750,2000,1000000,10,2000,4498483,17713.47610275611,0.0000003331359205327619,0.00000008126391998332129,8.856359716309393,78.54229232,392.715462
5,6000000000,0.001,750,2000,1000000,25,2000,4498645.4,47709.907147733335,0.00000033312710745916794,0.00000000003412750890514686,23.85505255824251,78.46368784,392.3204394
5,6000000000,0.001,750,2000,1000000,50,2000,4496741.2,97704.3217777828,0.00000033283914462089974,0.0000000003377621774911957,48.852558318242096,78.5076904,392.540452
